Nx,Ny,Nxy,Mx,My,Mxy,max_stress_fi,tsai_hill_fi,tsai_wu_fi,hashin_fi,hashin_mode,failed,hashin_ply,hashin_surface
-8391.49734295113,11787.645406698675,32871.62330311424,285913.48645574687,76566.60268860943,-63613.01525685227,4699.74679406098,22091186.896992285,7627061.426853882,22087708.44993003,matrix_tension,True,7,top
-28777.012215972492,-38950.46893706444,72262.24773414947,2472.277220394454,22155.504752501914,1112.2628818944409,1128.7038685576745,1284888.4680558434,314222.02677436825,1278472.714491691,matrix_tension,True,8,top
68888.68563250192,-313990.15053376934,108054.11750941587,-159189.30790879723,-233802.50588815782,-9468.698170513238,11369.408572120808,129876728.25063105,31690821.79085841,129896308.13351895,matrix_tension,True,1,bottom
-11941.500315399817,14309.558728392683,-23110.948382737137,-7007.174777335397,-10070.962629552352,-802.1873948214269,482.08545574298245,233167.15069258068,56992.29476067363,233202.09448429284,matrix_tension,True,1,bottom
-52001.48253607105,37368.82276732517,3250.5600499653206,-97613.55120852024,-101052.05976601588,-635.6047002408326,4850.543513424005,23712386.880576532,5872530.528635946,23695063.108938586,matrix_tension,True,1,bottom
-2474.194687683753,-669.4446844273078,5396.2322935194725,22671.311695864697,-26581.771652433104,-28037.929847938554,986.9444111129204,1176275.1640750098,410520.7633910264,1094480.7976786222,matrix_tension,True,1,bottom
23316.56178774371,100471.50536922528,-34810.56583464403,-201895.72156692573,-137518.0437192599,-67228.90862918184,5106.902051380372,26531878.189514857,6884795.811628089,26287911.479724284,matrix_tension,True,1,bottom
-39521.7316514413,3733.680831204911,-30169.19181346671,101549.64103164677,-65421.4460536504,-83450.65635570152,2369.835532505044,7847529.438156069,3276884.1945536844,6820606.502247532,matrix_tension,True,1,bottom
-45458.99171804948,11535.886097198965,3035.8404611149144,-4364.6804547371075,47017.09585512192,-18418.95559941394,2810.831981701586,8162760.460931672,2137031.3945120117,8116225.8528526295,matrix_tension,True,8,top
-27502.37309253113,-155794.51241220714,8530.107088330089,-131300.65543012624,-91713.33401729228,48437.598146016884,5095.066546777164,27426763.636935282,7815481.617558811,27292632.581201266,matrix_tension,True,1,bottom
-30770.337982022644,48833.76302860058,57246.47055218101,71034.69125054889,26183.02020952772,67430.6336830504,1071.717029751288,1993800.84355157,933351.9446748879,1167620.9995097036,matrix_tension,True,2,bottom
-39265.07859603679,-107085.02130449173,14725.7514135652,-70580.48537284785,-20522.38543575563,232470.02907470596,7538.337735115999,62619880.80580983,20169880.235796873,57152058.437315494,matrix_tension,True,2,bottom
147554.8420446062,-82825.27940948338,26998.71839334524,2145.4973775390154,159868.57172376142,415538.8154826754,7831.073642729307,90222288.88921092,35742780.50902842,61613607.39264352,matrix_tension,True,2,bottom
77006.3261945946,146627.56864195815,-286234.17206551,-21856.027715156073,233861.56609637756,215377.06156864727,8468.174018741815,79710554.63285281,24538852.411387503,77934081.33950676,matrix_tension,True,8,top
262356.70385008305,145258.13803348757,355269.1104540416,85645.11730778184,-105280.3176634117,99402.98468275186,7670.92288886058,63398262.66440907,18319879.65268017,62528848.11648549,matrix_tension,True,1,bottom
3100.1051817850193,-29540.04923642518,-13954.340243537543,3657.8280349844863,3866.404601257857,-9411.819616972676,389.1696634125902,160013.7921996229,57538.75586434429,154044.29563213527,matrix_tension,True,7,top
201280.52616551868,-71085.68103565357,329399.98466175556,-281.9536669868194,59925.049348780325,237457.5677612102,5324.923262849129,36647085.44756707,12739843.903176308,28354818.408868473,matrix_tension,True,2,bottom
